BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
13965,6058093,13965,Arch 1 x 3 x 3,2,19,Tan,Solid Colors,4,1.51
15254,6106187,15254,Arch 1 x 6 x 2 - Medium Thick Top without Reinforced Underside,2,19,Tan,Solid Colors,2,2.53
15332,,15332,Fence 1 x 4 x 2 Spindled with 4 Studs,8,6,Brown,Solid Colors,4,1.52
2431,4116732,2431,Tile 1 x 4,8,6,Brown,Solid Colors,4,0.54
3001,4165644,3001,Brick 2 x 4,24,22,Purple,Solid Colors,5,2.32
3001,300124,3001,Brick 2 x 4,3,14,Yellow,Solid Colors,5,2.32
3001,300123,3001,Brick 2 x 4,7,1,Blue,Solid Colors,6,2.32
3001,,3001,Brick 2 x 4,23,13,Pink,Solid Colors,6,2.32
3001,4106356,3001,Brick 2 x 4,6,2,Green,Solid Colors,6,2.32
3001,4153827,3001,Brick 2 x 4,4,25,Orange,Solid Colors,72,2.32
3001,300121,3001,Brick 2 x 4,5,4,Red,Solid Colors,6,2.32
3001,,3001,Brick 2 x 4,87,232,Sky Blue,Solid Colors,6,2.32
3002,4109674,3002,Brick 2 x 3,6,2,Green,Solid Colors,8,1.92
3003,300324,3003,Brick 2 x 2,3,14,Yellow,Solid Colors,10,1.35
3003,300323,3003,Brick 2 x 2,7,1,Blue,Solid Colors,18,1.35
3003,300328,3003,Brick 2 x 2,6,2,Green,Solid Colors,18,1.35
3003,4153825,3003,Brick 2 x 2,4,25,Orange,Solid Colors,18,1.35
3003,,3003,Brick 2 x 2,87,232,Sky Blue,Solid Colors,8,1.35
3003,,3003,Brick 2 x 2,23,13,Pink,Solid Colors,18,1.35
3003,300301,3003,Brick 2 x 2,1,15,White,Solid Colors,16,1.35
3003,300321,3003,Brick 2 x 2,5,4,Red,Solid Colors,8,1.35
3003,4165649,3003,Brick 2 x 2,24,22,Purple,Solid Colors,10,1.35
3004,300424,3004,Brick 1 x 2,3,14,Yellow,Solid Colors,18,0.8
3004,,3004,Brick 1 x 2,24,22,Purple,Solid Colors,18,0.83
3004,4107736,3004,Brick 1 x 2,6,2,Green,Solid Colors,20,0.8
3004,300423,3004,Brick 1 x 2,7,1,Blue,Solid Colors,16,0.8
3004,4121739,3004,Brick 1 x 2,4,25,Orange,Solid Colors,16,0.8
3004,,3004,Brick 1 x 2,23,13,Pink,Solid Colors,16,0.83
3004,,3004,Brick 1 x 2,87,232,Sky Blue,Solid Colors,19,0.83
3004,300421,3004,Brick 1 x 2,5,4,Red,Solid Colors,19,0.8
3004,300401,3004,Brick 1 x 2,1,15,White,Solid Colors,6,0.8
3005,300523,3005,Brick 1 x 1,7,1,Blue,Solid Colors,1,0.44
3005,4173805,3005,Brick 1 x 1,4,25,Orange,Solid Colors,1,0.44
3005,4160990,3005,Brick 1 x 1,8,6,Brown,Solid Colors,8,0.44
3005,,3005,Brick 1 x 1,24,22,Purple,Solid Colors,1,0.44
3005,300521,3005,Brick 1 x 1,5,4,Red,Solid Colors,1,0.44
3005,,3005,Brick 1 x 1,87,232,Sky Blue,Solid Colors,1,0.44
3005,300528,3005,Brick 1 x 1,6,2,Green,Solid Colors,1,0.44
3005,300524,3005,Brick 1 x 1,3,14,Yellow,Solid Colors,1,0.44
3005,300509,3005,Brick 1 x 1,23,13,Pink,Solid Colors,1,0.44
3010,4113916,3010,Brick 1 x 4,2,19,Tan,Solid Colors,2,1.64
3010,4165665,3010,Brick 1 x 4,24,22,Purple,Solid Colors,4,1.64
3010,301023,3010,Brick 1 x 4,7,1,Blue,Solid Colors,1,1.64
